family_id,obs,source_file,lb_session,tone_offset_s,imu_alignable,n_segments,coded_s,span_end_s,n_classes,coded_h,lb_session_on_disk,lb_session_has_imu
25004,5A,BRP1_25004_Obs5A_EDITED.txt,BRP1_25004_REC456_2025-09-10-09-33-19,424.143,True,10,2019.0,2019.0,4,0.5608333333333333,True,True
25004,5B,BRP1_25004_Obs5B_EDITED.txt,BRP1_25004_REC456_2025-09-10-09-33-19,2574.98,True,1,1506.0,1506.0,1,0.41833333333333333,True,True
25004,6A,BRP1_25004_Obs6A_EDITED.txt,BRP1_25004_REC456_2025-09-17-09-30-30,394.133,True,7,3601.0,3601.0,5,1.0002777777777778,True,True
25004,7A,BRP1_25004_Obs7A_EDITED.txt,BRP1_25004_REC789_2025-09-19-09-21-13,390.846,True,12,3606.0,3606.0,4,1.0016666666666667,True,True
25004,8A,BRP1_25004_Obs8A_EDITED.txt,BRP1_25004_REC789_2025-09-24-09-26-14,269.171,True,46,3605.0,3605.0,4,1.0013888888888889,True,True
25005,1A,BRP1_25005_Obs1A_EDITED.txt,BRP1_25005_REC123_2025-09-25-09-42-16,403.988,True,24,2818.0,2818.0,6,0.7827777777777778,True,True
25005,2A,BRP1_25005_Obs2A_EDITED.txt,BRP1_25005_REC123_2025-09-30-09-35-30,440.573,True,19,3602.9970000000003,3603.0,6,1.0008325,True,True
25005,3A,BRP1_25005_Obs3A_EDITED.txt,BRP1_25005_REC123_2025-10-03-09-31-04,373.445,True,31,3817.0,3817.0,6,1.0602777777777779,True,True
25005,4A,BRP1_25005_Obs4A_EDITED.txt,BRP1_25005_REC456_2025-10-06-09-40-48,332.83,True,21,7970.0,7985.0,5,2.213888888888889,True,True
25005,5A,BRP1_25005_Obs5A_EDITED.txt,BRP1_25005_REC456_2025-10-13-09-42-11,403.438,True,25,3698.0,3698.0,6,1.0272222222222223,True,True
25005,6A,BRP1_25005_Obs6A_EDITED.txt,BRP1_25005_REC456_2025-10-15-09-31-31,299.352,True,39,3652.98,3653.0,7,1.0147166666666667,True,True
25005,7A,BRP1_25005_Obs7A_EDITED.txt,BRP1_25005_REC789_2025-10-22-09-41-08,437.011,True,37,3940.0,3940.0,7,1.0944444444444446,True,True
25005,8A,BRP1_25005_Obs8A_EDITED.txt,BRP1_25005_REC789_2025-10-24-09-36-59,403.87,True,83,3639.0,3639.0,7,1.0108333333333333,True,True
25005,9A,BRP1_25005_Obs9A_EDITED.txt,BRP1_25005_REC789_2025-10-29-09-42-35,513.08,True,53,3647.0,3647.0,7,1.0130555555555556,True,True
25006,10A,BRP1_25006_Obs10A_EDITED.txt,BRP1_25006_REC101112_2025-10-23-09-41-02,527.68,True,97,3619.0,3619.0,7,1.0052777777777777,True,True
25006,11A,BRP1_25006_Obs11A_EDITED.txt,BRP1_25006_REC101112_2025-10-28-09-39-39,385.02,True,94,3600.0,3600.0,7,1.0,True,True
25006,12A,BRP1_25006_Obs12A_EDITED.txt,BRP1_25006_REC101112_2025-11-03-10-46-53,464.78,True,3,847.0,847.0,3,0.23527777777777778,True,True
25006,1A,BRP1_25006_Obs1A_EDITED.txt,BRP1_25006_REC123_2025-09-23-09-47-39,449.54,True,5,3513.0,3513.0,1,0.9758333333333333,True,True
25006,2A,BRP1_25006_Obs2A_EDITED.txt,BRP1_25006_REC123_2025-09-26-09-33-50,343.636,True,36,3735.0,3735.0,5,1.0375,True,True
25006,3A,BRP1_25006_Obs3A_EDITED.txt,BRP1_25006_REC123_2025-09-29-09-34-02,296.66,True,98,3718.0,3718.0,7,1.0327777777777778,True,True
25006,4A,BRP1_25006_Obs4A_EDITED.txt,BRP1_25006_REC456_2025-10-01-09-35-21,384.614,True,17,3655.0,3655.0,6,1.0152777777777777,True,True
25006,5A,BRP1_25006_Obs5A_EDITED.txt,BRP1_25006_REC456_2025-10-07-10-23-09,357.456,True,74,3589.995,3590.0,7,0.9972208333333333,True,True
25006,6A,BRP1_25006_Obs6A_EDITED.txt,BRP1_25006_REC456_2025-10-10-09-26-29,474.75,True,56,5407.993,5408.0,6,1.5022202777777778,True,True
25006,7A,BRP1_25006_Obs7A_EDITED.txt,BRP1_25006_REC789_2025-10-14-09-37-40,252.96,True,38,3595.0,3595.0,6,0.9986111111111111,True,True
25006,8A,BRP1_25006_Obs8A_EDITED.txt,BRP1_25006_REC789_2025-10-17-09-33-40,217.826,True,79,3789.0,3789.0,6,1.0525,True,True
