held_out,n_test,kappa__A_gravity_only_logreg,macroF1__A_gravity_only_logreg,kappa__B_+_accel_dispersionlogreg,macroF1__B_+_accel_dispersionlogreg,kappa__C_+_gyro_logreg,macroF1__C_+_gyro_logreg,kappa__A_gravity_only_GBDT,macroF1__A_gravity_only_GBDT,kappa__C_+_gyro_GBDT,macroF1__C_+_gyro_GBDT
25003,7238,0.7834328287092758,0.7013292592818731,0.801646118880157,0.7003202739114424,0.7995145939171096,0.7345026896231683,0.7921736191750053,0.6073699759959459,0.8049156593405878,0.7338917157149893
25004,7728,0.541600830781019,0.4402184448459115,0.5055877807927462,0.4940297493019408,0.5640831800031014,0.536918383886375,0.5857429830361334,0.4710941628018012,0.5684012270509746,0.5393059375168718
25005,6165,0.8886771521965812,0.6518001808333223,0.8825866833829186,0.6247478798487066,0.8929583793980747,0.7273895690126976,0.8840717306086046,0.6610193238411586,0.8876948380504662,0.7046507874180312
25006,8007,0.6065335678601085,0.4901881248921773,0.5658219325797391,0.545852098713903,0.5365788220833801,0.5713799130263141,0.8211293364653752,0.6897275912373144,0.8381675332606132,0.7234934328547296
25007,9760,0.795151121479147,0.5922888888214933,0.7987187565956944,0.6011024872204185,0.8384448586994775,0.5646046627121933,0.7953791951861213,0.6222830376884071,0.8848490005674648,0.7588672575169849
25008,9237,0.7979071895316449,0.5871478499289572,0.8144574578222079,0.5567891399503644,0.8257958881840279,0.6109771996275768,0.8083258988439661,0.6289042826253924,0.8306646392207739,0.6501996215646008
pooled,48135,0.7458110412454635,0.5909649386410233,0.740333192212338,0.6153583847454233,0.7546480760484071,0.6487781047156579,0.794492264390944,0.6758524542101367,0.8165582570124365,0.7289444898639267
