n,n_classes_present,n_classes_union,accuracy,macro_f1_union,macro_f1_pinned,macro_f1_present,weighted_f1,kappa,p_e,eff_n_classes,max_class_share,model,held_out,gap,divisor_penalty
7238,6,7,0.7169107488256424,0.48687851879379535,0.48687851879379535,0.5680249385927613,0.7286122065795894,0.6203033162323839,0.25443317448720376,3.6445196942726055,0.4329925393755181,harnet10 (probe),25003,0.13342479743858854,0.08114641979896592
7728,7,7,0.5850155279503105,0.38169344403115046,0.38169344403115046,0.38169344403115046,0.5535333493044973,0.46614515519816413,0.22266422026435023,3.8439391936311678,0.32634575569358176,harnet10 (probe),25004,0.08445171116701367,0.0
6165,7,7,0.7995133819951338,0.597883542456506,0.597883542456506,0.597883542456506,0.8036009034062721,0.7226727814039062,0.27707558233993673,3.5222874390841197,0.40665044606650447,harnet10 (probe),25005,0.12478923894740024,0.0
8007,7,7,0.8081678531285126,0.6334500067420886,0.6334500067420886,0.6334500067420886,0.7984506144952817,0.75598149064725,0.21386231159138278,4.679455089724644,0.268889721493693,harnet10 (probe),25006,0.12253148390516133,0.0
9760,6,7,0.7677254098360655,0.5271391035028083,0.5271391035028083,0.6149956207532764,0.7759946942254149,0.6733182892263936,0.28898808074106425,3.405462605462606,0.42264344262295084,harnet10 (probe),25007,0.14617918572358524,0.08785651725046806
9237,6,7,0.7591209267078055,0.49507114224540033,0.49507114224540033,0.5775829992863004,0.7645588073041265,0.6794732083873574,0.2484900495204242,3.854641818141158,0.3247807729782397,harnet10 (probe),25008,0.18440206614195703,0.08251185704090008
7238,6,7,0.8739983420834485,0.6632946750877133,0.6632946750877133,0.7738437876023322,0.8726844563428408,0.8268057596238613,0.2724835557873955,3.6445196942726055,0.4329925393755181,harnet10 (full),25003,0.16351108453614793,0.11054911251461885
7728,7,7,0.6790890269151139,0.6744581536620353,0.6744581536620353,0.6744581536620353,0.6421487819888865,0.5773629082974205,0.24069377869295167,3.8439391936311678,0.32634575569358176,harnet10 (full),25004,-0.09709524536461478,0.0
6165,7,7,0.9023519870235198,0.7509784661477509,0.7509784661477509,0.7509784661477509,0.9034586172214442,0.8646794385618516,0.27839485781979606,3.5222874390841197,0.40665044606650447,harnet10 (full),25005,0.11370097241410071,0.0
8007,7,7,0.8787311102785063,0.7535601324712397,0.7535601324712397,0.7535601324712397,0.8768464029548413,0.8458646222277186,0.21323130695760478,4.679455089724644,0.268889721493693,harnet10 (full),25006,0.09230448975647898,0.0
9760,6,7,0.9325819672131147,0.6758309959615243,0.6758309959615243,0.788469495288445,0.9404427417188798,0.9048952480559302,0.2911181470034937,3.405462605462606,0.42264344262295084,harnet10 (full),25007,0.22906425209440595,0.11263849932692072
9237,6,7,0.8817797986359207,0.6444676562650299,0.6444676562650299,0.7518789323092016,0.8838830031906233,0.8409011036901898,0.25693889708781315,3.854641818141158,0.3247807729782397,harnet10 (full),25008,0.1964334474251599,0.10741127604417167
48135,7,7,0.7398982029708112,0.6066988460459027,0.6066988460459027,0.6066988460459027,0.7344269414884645,0.6730059020605541,0.20456730360510833,4.949309642677227,0.26234548665212426,harnet10 (probe),pooled,0.06630705601465137,0.0
48135,7,7,0.860496520203594,0.7508067772610133,0.7508067772610133,0.7508067772610133,0.8544045837479873,0.8244452323206153,0.2053563589273697,4.949309642677227,0.26234548665212426,harnet10 (full),pooled,0.07363845505960198,0.0
