model,held_out,coded,predicted,n,row_pct
harnet10 (probe),25004,stand,stand,191,8.542039355992845
harnet10 (probe),25005,crawl,crawl,5,33.33333333333333
harnet10 (probe),25005,crawl,on back,1,6.666666666666667
harnet10 (probe),25005,crawl,on side,0,0.0
harnet10 (probe),25005,crawl,on stomach,2,13.333333333333334
harnet10 (probe),25005,crawl,recline back,6,40.0
harnet10 (probe),25005,crawl,sit,0,0.0
harnet10 (probe),25005,crawl,stand,1,6.666666666666667
harnet10 (probe),25005,on back,crawl,5,0.1994415636218588
harnet10 (probe),25005,on back,on back,2011,80.21539688871161
harnet10 (probe),25005,on back,on side,89,3.5500598324690866
harnet10 (probe),25005,on back,on stomach,17,0.6781013163143199
harnet10 (probe),25005,on back,recline back,361,14.399680893498203
harnet10 (probe),25005,on back,sit,19,0.7578779417630634
harnet10 (probe),25005,on back,stand,5,0.1994415636218588
harnet10 (probe),25005,on side,crawl,3,1.3392857142857142
harnet10 (probe),25005,on side,on back,31,13.839285714285715
harnet10 (probe),25005,on side,on side,139,62.05357142857143
harnet10 (probe),25005,on side,on stomach,6,2.6785714285714284
harnet10 (probe),25005,on side,recline back,44,19.642857142857142
harnet10 (probe),25005,on side,sit,1,0.4464285714285714
harnet10 (probe),25005,on side,stand,0,0.0
harnet10 (probe),25005,on stomach,crawl,18,1.5544041450777202
harnet10 (probe),25005,on stomach,on back,30,2.5906735751295336
harnet10 (probe),25005,on stomach,on side,6,0.5181347150259068
harnet10 (probe),25005,on stomach,on stomach,1013,87.47841105354058
harnet10 (probe),25005,on stomach,recline back,48,4.145077720207254
harnet10 (probe),25005,on stomach,sit,36,3.1088082901554404
harnet10 (probe),25005,on stomach,stand,7,0.6044905008635579
harnet10 (probe),25005,recline back,crawl,1,0.05834305717619603
harnet10 (probe),25005,recline back,on back,52,3.0338389731621938
harnet10 (probe),25005,recline back,on side,23,1.3418903150525088
harnet10 (probe),25005,recline back,on stomach,7,0.40840140023337224
harnet10 (probe),25005,recline back,recline back,1526,89.03150525087514
harnet10 (probe),25005,recline back,sit,82,4.784130688448075
harnet10 (probe),25005,recline back,stand,23,1.3418903150525088
harnet10 (probe),25005,sit,crawl,8,2.056555269922879
harnet10 (probe),25005,sit,on back,28,7.197943444730077
harnet10 (probe),25005,sit,on side,0,0.0
harnet10 (probe),25005,sit,on stomach,0,0.0
harnet10 (probe),25005,sit,recline back,110,28.277634961439592
harnet10 (probe),25005,sit,sit,167,42.9305912596401
harnet10 (probe),25005,sit,stand,76,19.53727506426735
harnet10 (probe),25005,stand,crawl,3,1.89873417721519
harnet10 (probe),25005,stand,on back,29,18.354430379746837
harnet10 (probe),25005,stand,on side,0,0.0
harnet10 (probe),25005,stand,on stomach,0,0.0
harnet10 (probe),25005,stand,recline back,24,15.18987341772152
harnet10 (probe),25005,stand,sit,34,21.518987341772153
harnet10 (probe),25005,stand,stand,68,43.037974683544306
harnet10 (probe),25006,crawl,crawl,25,6.631299734748011
harnet10 (probe),25006,crawl,on back,41,10.875331564986737
harnet10 (probe),25006,crawl,on side,1,0.2652519893899204
harnet10 (probe),25006,crawl,on stomach,64,16.976127320954905
harnet10 (probe),25006,crawl,recline back,36,9.549071618037134
harnet10 (probe),25006,crawl,sit,111,29.44297082228117
harnet10 (probe),25006,crawl,stand,99,26.25994694960212
harnet10 (probe),25006,on back,crawl,0,0.0
harnet10 (probe),25006,on back,on back,307,92.46987951807229
harnet10 (probe),25006,on back,on side,1,0.30120481927710846
harnet10 (probe),25006,on back,on stomach,12,3.614457831325301
harnet10 (probe),25006,on back,recline back,8,2.4096385542168677
harnet10 (probe),25006,on back,sit,2,0.6024096385542169
harnet10 (probe),25006,on back,stand,2,0.6024096385542169
