model,n_feats,accuracy,macro_f1,kappa,mean_fold_kappa,worst_subject_f1,worst_subject_kappa,majority_baseline_acc
A gravity only      (logreg),3,0.7992728783629376,0.5909649386410233,0.7458110412454635,0.735550448426296,0.4402184448459115,0.541600830781019,0.26234548665212426
B + accel dispersion(logreg),11,0.7951594473875558,0.6153583847454233,0.740333192212338,0.7281364550089106,0.4940297493019408,0.5055877807927462,0.26234548665212426
C + gyro            (logreg),19,0.806294795886569,0.6487781047156579,0.7546480760484071,0.7428959537141951,0.536918383886375,0.5365788220833801,0.26234548665212426
A gravity only      (GBDT),3,0.8364807312766178,0.6758524542101367,0.794492264390944,0.781137127219201,0.4710941628018012,0.5857429830361334,0.26234548665212426
C + gyro            (GBDT),19,0.8542640490287733,0.7289444898639267,0.8165582570124365,0.8024488162484801,0.5393059375168718,0.5684012270509746,0.26234548665212426
