posture,n_segments,total_s,median_s,mean_s,max_s,n_subjects,n_observations,hours,pct_time,pct_segments,alignable_h,unalignable_h
on back,416,71989.929,32.510000000000005,173.0527139423077,3614.0,6,70,19.9972025,26.3712192164066,16.475247524752476,18.81145638888889,1.185746111111111
on stomach,362,69590.873,33.0,192.23998066298344,4706.0,6,67,19.330798055555558,25.49240140720393,14.336633663366335,17.483148055555557,1.84765
recline back,260,57621.4,57.5,221.62076923076924,2343.0,6,70,16.005944444444445,21.107765934263544,10.297029702970297,15.4274175,0.5785269444444445
sit,593,34437.767,16.0,58.07380607082631,2253.136,6,72,9.56604638888889,12.615179866068946,23.485148514851485,9.211650833333334,0.3543955555555556
stand,318,21059.445,18.0,66.22466981132075,2147.0,6,69,5.849845833333333,7.714457402379961,12.594059405940595,5.793096666666667,0.05674916666666666
on side,297,14360.812,5.0,48.352902356902355,2162.0,6,51,3.9891144444444446,5.260626404807295,11.762376237623762,3.8721708333333336,0.11694361111111111
crawl,276,3883.454,8.0,14.070485507246378,150.98,3,16,1.0787372222222222,1.4225797715515327,10.930693069306932,1.0787372222222222,0.0
recline forward,3,43.05,4.05,14.35,36.0,3,3,0.011958333333333333,0.015769997318184657,0.1188118811881188,0.011958333333333333,0.0
