model,n_feats,accuracy,macro_f1,kappa,mean_fold_kappa,worst_subject_f1,worst_subject_kappa
harnet10 (probe),900,0.7398982029708112,0.6066988460459027,0.6730059020605541,0.6529823735159092,0.38169344403115046,0.46614515519816413
harnet10 (full),900,0.860496520203594,0.7508067772610133,0.8244452323206153,0.8100848467428285,0.6444676562650299,0.5773629082974205
