family_id,on back,on stomach,recline back,sit,stand,on side,crawl,recline forward
25003,21397.443,8166.963,5846.57,4398.728,3897.832,543.229,0.0,0.0
25004,161.641,16315.585000000001,5452.421,9223.82,11359.439,96.303,934.7909999999999,36.0
25005,12947.038,10480.267,8724.186,2136.976,943.373,1408.137,142.0,3.0
25006,1757.498,10682.747,10900.834,3367.826,3024.297,10484.073,2806.663,4.05
25007,22089.468,7316.448,14121.658,8789.413,371.159,1553.854,0.0,0.0
25008,13636.841,16628.863,12575.731,6521.004,1463.345,275.216,0.0,0.0
