model,accuracy,macro_f1,kappa,worst_subject_f1,worst_subject_kappa
A gravity only (logreg),0.7992728783629376,0.5909649386410233,0.7458110412454635,0.4402184448459115,0.541600830781019
B + accel dispersion(logreg),0.7951594473875558,0.6153583847454233,0.740333192212338,0.4940297493019408,0.5055877807927462
C + gyro (logreg),0.806294795886569,0.6487781047156579,0.7546480760484071,0.536918383886375,0.5365788220833801
A gravity only (GBDT),0.8364807312766178,0.6758524542101367,0.794492264390944,0.4710941628018012,0.5857429830361334
C + gyro (GBDT),0.8542640490287733,0.7289444898639267,0.8165582570124365,0.5393059375168718,0.5684012270509746
harnet10 (probe),0.7398982029708112,0.6066988460459027,0.6730059020605541,0.3816934440311504,0.4661451551981641
harnet10 (full),0.860496520203594,0.7508067772610133,0.8244452323206153,0.6444676562650299,0.5773629082974205
